,entry_date,exit_date,quarter_date
607,2008-06-03,2008-06-04,2008-04-01
608,2008-06-04,2008-06-05,2008-04-01
609,2008-06-05,2008-06-06,2008-04-01
610,2008-06-06,2008-06-09,2008-04-01
611,2008-06-09,2008-06-10,2008-04-01
612,2008-06-10,2008-06-11,2008-04-01
613,2008-06-11,2008-06-12,2008-04-01
614,2008-06-12,2008-06-13,2008-04-01
615,2008-06-13,2008-06-16,2008-04-01
616,2008-06-16,2008-06-17,2008-04-01
617,2008-06-17,2008-06-18,2008-04-01
618,2008-06-18,2008-06-19,2008-04-01
619,2008-06-19,2008-06-20,2008-04-01
620,2008-06-20,2008-06-23,2008-04-01
621,2008-06-23,2008-06-24,2008-04-01
622,2008-06-24,2008-06-25,2008-04-01
623,2008-06-25,2008-06-26,2008-04-01
624,2008-06-26,2008-06-27,2008-04-01
625,2008-06-27,2008-06-30,2008-04-01
626,2008-06-30,2008-07-01,2008-04-01
627,2008-07-01,2008-07-02,2008-07-01
628,2008-07-02,2008-07-03,2008-07-01
629,2008-07-03,2008-07-07,2008-07-01
630,2008-07-07,2008-07-08,2008-07-01
631,2008-07-08,2008-07-09,2008-07-01
632,2008-07-09,2008-07-10,2008-07-01
633,2008-07-10,2008-07-11,2008-07-01
634,2008-07-11,2008-07-14,2008-07-01
635,2008-07-14,2008-07-15,2008-07-01
636,2008-07-15,2008-07-16,2008-07-01
637,2008-07-16,2008-07-17,2008-07-01
638,2008-07-17,2008-07-18,2008-07-01
639,2008-07-18,2008-07-21,2008-07-01
640,2008-07-21,2008-07-22,2008-07-01
641,2008-07-22,2008-07-23,2008-07-01
642,2008-07-23,2008-07-24,2008-07-01
643,2008-07-24,2008-07-25,2008-07-01
644,2008-07-25,2008-07-28,2008-07-01
645,2008-07-28,2008-07-29,2008-07-01
646,2008-07-29,2008-07-30,2008-07-01
647,2008-07-30,2008-07-31,2008-07-01
648,2008-07-31,2008-08-01,2008-07-01
649,2008-08-01,2008-08-04,2008-07-01
650,2008-08-04,2008-08-05,2008-07-01
651,2008-08-05,2008-08-06,2008-07-01
652,2008-08-06,2008-08-07,2008-07-01
653,2008-08-07,2008-08-08,2008-07-01
654,2008-08-08,2008-08-11,2008-07-01
655,2008-08-11,2008-08-12,2008-07-01
656,2008-08-12,2008-08-13,2008-07-01
657,2008-08-13,2008-08-14,2008-07-01
658,2008-08-14,2008-08-15,2008-07-01
659,2008-08-15,2008-08-18,2008-07-01
660,2008-08-18,2008-08-19,2008-07-01
661,2008-08-19,2008-08-20,2008-07-01
662,2008-08-20,2008-08-21,2008-07-01
663,2008-08-21,2008-08-22,2008-07-01
664,2008-08-22,2008-08-25,2008-07-01
665,2008-08-25,2008-08-26,2008-07-01
666,2008-08-26,2008-08-27,2008-07-01
667,2008-08-27,2008-08-28,2008-07-01
668,2008-08-28,2008-08-29,2008-07-01
669,2008-08-29,2008-09-02,2008-07-01
670,2008-09-02,2008-09-03,2008-07-01
671,2008-09-03,2008-09-04,2008-07-01
672,2008-09-04,2008-09-05,2008-07-01
673,2008-09-05,2008-09-08,2008-07-01
674,2008-09-08,2008-09-09,2008-07-01
675,2008-09-09,2008-09-10,2008-07-01
676,2008-09-10,2008-09-11,2008-07-01
677,2008-09-11,2008-09-12,2008-07-01
678,2008-09-12,2008-09-15,2008-07-01
679,2008-09-15,2008-09-16,2008-07-01
680,2008-09-16,2008-09-17,2008-07-01
681,2008-09-17,2008-09-18,2008-07-01
682,2008-09-18,2008-09-19,2008-07-01
683,2008-09-19,2008-09-22,2008-07-01
684,2008-09-22,2008-09-23,2008-07-01
685,2008-09-23,2008-09-24,2008-07-01
686,2008-09-24,2008-09-25,2008-07-01
687,2008-09-25,2008-09-26,2008-07-01
688,2008-09-26,2008-09-29,2008-07-01
689,2008-09-29,2008-09-30,2008-07-01
690,2008-09-30,2008-10-01,2008-07-01
691,2008-10-01,2008-10-02,2008-10-01
692,2008-10-02,2008-10-03,2008-10-01
693,2008-10-03,2008-10-06,2008-10-01
694,2008-10-06,2008-10-07,2008-10-01
695,2008-10-07,2008-10-08,2008-10-01
696,2008-10-08,2008-10-09,2008-10-01
697,2008-10-09,2008-10-10,2008-10-01
698,2008-10-10,2008-10-13,2008-10-01
699,2008-10-13,2008-10-14,2008-10-01
700,2008-10-14,2008-10-15,2008-10-01
701,2008-10-15,2008-10-16,2008-10-01
702,2008-10-16,2008-10-17,2008-10-01
703,2008-10-17,2008-10-20,2008-10-01
704,2008-10-20,2008-10-21,2008-10-01
705,2008-10-21,2008-10-22,2008-10-01
706,2008-10-22,2008-10-23,2008-10-01
707,2008-10-23,2008-10-24,2008-10-01
708,2008-10-24,2008-10-27,2008-10-01
709,2008-10-27,2008-10-28,2008-10-01
710,2008-10-28,2008-10-29,2008-10-01
711,2008-10-29,2008-10-30,2008-10-01
712,2008-10-30,2008-10-31,2008-10-01
713,2008-10-31,2008-11-03,2008-10-01
714,2008-11-03,2008-11-04,2008-10-01
715,2008-11-04,2008-11-05,2008-10-01
716,2008-11-05,2008-11-06,2008-10-01
717,2008-11-06,2008-11-07,2008-10-01
718,2008-11-07,2008-11-10,2008-10-01
719,2008-11-10,2008-11-11,2008-10-01
720,2008-11-11,2008-11-12,2008-10-01
721,2008-11-12,2008-11-13,2008-10-01
722,2008-11-13,2008-11-14,2008-10-01
723,2008-11-14,2008-11-17,2008-10-01
724,2008-11-17,2008-11-18,2008-10-01
725,2008-11-18,2008-11-19,2008-10-01
726,2008-11-19,2008-11-20,2008-10-01
727,2008-11-20,2008-11-21,2008-10-01
728,2008-11-21,2008-11-24,2008-10-01
729,2008-11-24,2008-11-25,2008-10-01
730,2008-11-25,2008-11-26,2008-10-01
731,2008-11-26,2008-11-28,2008-10-01
732,2008-11-28,2008-12-01,2008-10-01
733,2008-12-01,2008-12-02,2008-10-01
734,2008-12-02,2008-12-03,2008-10-01
735,2008-12-03,2008-12-04,2008-10-01
736,2008-12-04,2008-12-05,2008-10-01
737,2008-12-05,2008-12-08,2008-10-01
738,2008-12-08,2008-12-09,2008-10-01
739,2008-12-09,2008-12-10,2008-10-01
740,2008-12-10,2008-12-11,2008-10-01
741,2008-12-11,2008-12-12,2008-10-01
742,2008-12-12,2008-12-15,2008-10-01
743,2008-12-15,2008-12-16,2008-10-01
744,2008-12-16,2008-12-17,2008-10-01
745,2008-12-17,2008-12-18,2008-10-01
746,2008-12-18,2008-12-19,2008-10-01
747,2008-12-19,2008-12-22,2008-10-01
748,2008-12-22,2008-12-23,2008-10-01
749,2008-12-23,2008-12-24,2008-10-01
750,2008-12-24,2008-12-26,2008-10-01
751,2008-12-26,2008-12-29,2008-10-01
752,2008-12-29,2008-12-30,2008-10-01
753,2008-12-30,2008-12-31,2008-10-01
754,2008-12-31,2009-01-02,2008-10-01
755,2009-01-02,2009-01-05,2009-01-01
756,2009-01-05,2009-01-06,2009-01-01
757,2009-01-06,2009-01-07,2009-01-01
758,2009-01-07,2009-01-08,2009-01-01
759,2009-01-08,2009-01-09,2009-01-01
760,2009-01-09,2009-01-12,2009-01-01
761,2009-01-12,2009-01-13,2009-01-01
762,2009-01-13,2009-01-14,2009-01-01
763,2009-01-14,2009-01-15,2009-01-01
764,2009-01-15,2009-01-16,2009-01-01
765,2009-01-16,2009-01-20,2009-01-01
766,2009-01-20,2009-01-21,2009-01-01
767,2009-01-21,2009-01-22,2009-01-01
768,2009-01-22,2009-01-23,2009-01-01
769,2009-01-23,2009-01-26,2009-01-01
770,2009-01-26,2009-01-27,2009-01-01
771,2009-01-27,2009-01-28,2009-01-01
772,2009-01-28,2009-01-29,2009-01-01
773,2009-01-29,2009-01-30,2009-01-01
774,2009-01-30,2009-02-02,2009-01-01
775,2009-02-02,2009-02-03,2009-01-01
776,2009-02-03,2009-02-04,2009-01-01
777,2009-02-04,2009-02-05,2009-01-01
778,2009-02-05,2009-02-06,2009-01-01
779,2009-02-06,2009-02-09,2009-01-01
780,2009-02-09,2009-02-10,2009-01-01
781,2009-02-10,2009-02-11,2009-01-01
782,2009-02-11,2009-02-12,2009-01-01
783,2009-02-12,2009-02-13,2009-01-01
784,2009-02-13,2009-02-17,2009-01-01
785,2009-02-17,2009-02-18,2009-01-01
786,2009-02-18,2009-02-19,2009-01-01
787,2009-02-19,2009-02-20,2009-01-01
788,2009-02-20,2009-02-23,2009-01-01
789,2009-02-23,2009-02-24,2009-01-01
790,2009-02-24,2009-02-25,2009-01-01
791,2009-02-25,2009-02-26,2009-01-01
792,2009-02-26,2009-02-27,2009-01-01
793,2009-02-27,2009-03-02,2009-01-01
794,2009-03-02,2009-03-03,2009-01-01
795,2009-03-03,2009-03-04,2009-01-01
796,2009-03-04,2009-03-05,2009-01-01
797,2009-03-05,2009-03-06,2009-01-01
798,2009-03-06,2009-03-09,2009-01-01
799,2009-03-09,2009-03-10,2009-01-01
800,2009-03-10,2009-03-11,2009-01-01
801,2009-03-11,2009-03-12,2009-01-01
802,2009-03-12,2009-03-13,2009-01-01
803,2009-03-13,2009-03-16,2009-01-01
804,2009-03-16,2009-03-17,2009-01-01
805,2009-03-17,2009-03-18,2009-01-01
806,2009-03-18,2009-03-19,2009-01-01
807,2009-03-19,2009-03-20,2009-01-01
808,2009-03-20,2009-03-23,2009-01-01
809,2009-03-23,2009-03-24,2009-01-01
810,2009-03-24,2009-03-25,2009-01-01
811,2009-03-25,2009-03-26,2009-01-01
812,2009-03-26,2009-03-27,2009-01-01
813,2009-03-27,2009-03-30,2009-01-01
814,2009-03-30,2009-03-31,2009-01-01
815,2009-03-31,2009-04-01,2009-01-01
816,2009-04-01,2009-04-02,2009-04-01
817,2009-04-02,2009-04-03,2009-04-01
818,2009-04-03,2009-04-06,2009-04-01
819,2009-04-06,2009-04-07,2009-04-01
820,2009-04-07,2009-04-08,2009-04-01
821,2009-04-08,2009-04-09,2009-04-01
822,2009-04-09,2009-04-13,2009-04-01
823,2009-04-13,2009-04-14,2009-04-01
824,2009-04-14,2009-04-15,2009-04-01
825,2009-04-15,2009-04-16,2009-04-01
826,2009-04-16,2009-04-17,2009-04-01
827,2009-04-17,2009-04-20,2009-04-01
828,2009-04-20,2009-04-21,2009-04-01
829,2009-04-21,2009-04-22,2009-04-01
830,2009-04-22,2009-04-23,2009-04-01
831,2009-04-23,2009-04-24,2009-04-01
832,2009-04-24,2009-04-27,2009-04-01
833,2009-04-27,2009-04-28,2009-04-01
834,2009-04-28,2009-04-29,2009-04-01
835,2009-04-29,2009-04-30,2009-04-01
836,2009-04-30,2009-05-01,2009-04-01
837,2009-05-01,2009-05-04,2009-04-01
838,2009-05-04,2009-05-05,2009-04-01
839,2009-05-05,2009-05-06,2009-04-01
840,2009-05-06,2009-05-07,2009-04-01
841,2009-05-07,2009-05-08,2009-04-01
842,2009-05-08,2009-05-11,2009-04-01
843,2009-05-11,2009-05-12,2009-04-01
844,2009-05-12,2009-05-13,2009-04-01
845,2009-05-13,2009-05-14,2009-04-01
846,2009-05-14,2009-05-15,2009-04-01
847,2009-05-15,2009-05-18,2009-04-01
848,2009-05-18,2009-05-19,2009-04-01
849,2009-05-19,2009-05-20,2009-04-01
850,2009-05-20,2009-05-21,2009-04-01
851,2009-05-21,2009-05-22,2009-04-01
852,2009-05-22,2009-05-26,2009-04-01
853,2009-05-26,2009-05-27,2009-04-01
854,2009-05-27,2009-05-28,2009-04-01
855,2009-05-28,2009-05-29,2009-04-01
856,2009-05-29,2009-06-01,2009-04-01
857,2009-06-01,2009-06-02,2009-04-01
858,2009-06-02,2009-06-03,2009-04-01
859,2009-06-03,2009-06-04,2009-04-01
860,2009-06-04,2009-06-05,2009-04-01
861,2009-06-05,2009-06-08,2009-04-01
862,2009-06-08,2009-06-09,2009-04-01
863,2009-06-09,2009-06-10,2009-04-01
864,2009-06-10,2009-06-11,2009-04-01
865,2009-06-11,2009-06-12,2009-04-01
866,2009-06-12,2009-06-15,2009-04-01
867,2009-06-15,2009-06-16,2009-04-01
868,2009-06-16,2009-06-17,2009-04-01
869,2009-06-17,2009-06-18,2009-04-01
870,2009-06-18,2009-06-19,2009-04-01
871,2009-06-19,2009-06-22,2009-04-01
872,2009-06-22,2009-06-23,2009-04-01
873,2009-06-23,2009-06-24,2009-04-01
874,2009-06-24,2009-06-25,2009-04-01
875,2009-06-25,2009-06-26,2009-04-01
876,2009-06-26,2009-06-29,2009-04-01
877,2009-06-29,2009-06-30,2009-04-01
878,2009-06-30,2009-07-01,2009-04-01
879,2009-07-01,2009-07-02,2009-07-01
880,2009-07-02,2009-07-06,2009-07-01
881,2009-07-06,2009-07-07,2009-07-01
882,2009-07-07,2009-07-08,2009-07-01
883,2009-07-08,2009-07-09,2009-07-01
884,2009-07-09,2009-07-10,2009-07-01
885,2009-07-10,2009-07-13,2009-07-01
886,2009-07-13,2009-07-14,2009-07-01
887,2009-07-14,2009-07-15,2009-07-01
888,2009-07-15,2009-07-16,2009-07-01
889,2009-07-16,2009-07-17,2009-07-01
890,2009-07-17,2009-07-20,2009-07-01
891,2009-07-20,2009-07-21,2009-07-01
892,2009-07-21,2009-07-22,2009-07-01
893,2009-07-22,2009-07-23,2009-07-01
894,2009-07-23,2009-07-24,2009-07-01
895,2009-07-24,2009-07-27,2009-07-01
896,2009-07-27,2009-07-28,2009-07-01
897,2009-07-28,2009-07-29,2009-07-01
898,2009-07-29,2009-07-30,2009-07-01
899,2009-07-30,2009-07-31,2009-07-01
900,2009-07-31,2009-08-03,2009-07-01
901,2009-08-03,2009-08-04,2009-07-01
902,2009-08-04,2009-08-05,2009-07-01
903,2009-08-05,2009-08-06,2009-07-01
904,2009-08-06,2009-08-07,2009-07-01
905,2009-08-07,2009-08-10,2009-07-01
906,2009-08-10,2009-08-11,2009-07-01
907,2009-08-11,2009-08-12,2009-07-01
908,2009-08-12,2009-08-13,2009-07-01
909,2009-08-13,2009-08-14,2009-07-01
910,2009-08-14,2009-08-17,2009-07-01
911,2009-08-17,2009-08-18,2009-07-01
912,2009-08-18,2009-08-19,2009-07-01
913,2009-08-19,2009-08-20,2009-07-01
914,2009-08-20,2009-08-21,2009-07-01
915,2009-08-21,2009-08-24,2009-07-01
916,2009-08-24,2009-08-25,2009-07-01
917,2009-08-25,2009-08-26,2009-07-01
918,2009-08-26,2009-08-27,2009-07-01
919,2009-08-27,2009-08-28,2009-07-01
920,2009-08-28,2009-08-31,2009-07-01
921,2009-08-31,2009-09-01,2009-07-01
922,2009-09-01,2009-09-02,2009-07-01
923,2009-09-02,2009-09-03,2009-07-01
924,2009-09-03,2009-09-04,2009-07-01
925,2009-09-04,2009-09-08,2009-07-01
926,2009-09-08,2009-09-09,2009-07-01
927,2009-09-09,2009-09-10,2009-07-01
928,2009-09-10,2009-09-11,2009-07-01
929,2009-09-11,2009-09-14,2009-07-01
930,2009-09-14,2009-09-15,2009-07-01
931,2009-09-15,2009-09-16,2009-07-01
932,2009-09-16,2009-09-17,2009-07-01
933,2009-09-17,2009-09-18,2009-07-01
934,2009-09-18,2009-09-21,2009-07-01
935,2009-09-21,2009-09-22,2009-07-01
936,2009-09-22,2009-09-23,2009-07-01
937,2009-09-23,2009-09-24,2009-07-01
938,2009-09-24,2009-09-25,2009-07-01
939,2009-09-25,2009-09-28,2009-07-01
940,2009-09-28,2009-09-29,2009-07-01
941,2009-09-29,2009-09-30,2009-07-01
942,2009-09-30,2009-10-01,2009-07-01
943,2009-10-01,2009-10-02,2009-10-01
944,2009-10-02,2009-10-05,2009-10-01
945,2009-10-05,2009-10-06,2009-10-01
946,2009-10-06,2009-10-07,2009-10-01
947,2009-10-07,2009-10-08,2009-10-01
948,2009-10-08,2009-10-09,2009-10-01
949,2009-10-09,2009-10-12,2009-10-01
950,2009-10-12,2009-10-13,2009-10-01
951,2009-10-13,2009-10-14,2009-10-01
952,2009-10-14,2009-10-15,2009-10-01
953,2009-10-15,2009-10-16,2009-10-01
954,2009-10-16,2009-10-19,2009-10-01
955,2009-10-19,2009-10-20,2009-10-01
956,2009-10-20,2009-10-21,2009-10-01
957,2009-10-21,2009-10-22,2009-10-01
958,2009-10-22,2009-10-23,2009-10-01
959,2009-10-23,2009-10-26,2009-10-01
960,2009-10-26,2009-10-27,2009-10-01
961,2009-10-27,2009-10-28,2009-10-01
962,2009-10-28,2009-10-29,2009-10-01
963,2009-10-29,2009-10-30,2009-10-01
964,2009-10-30,2009-11-02,2009-10-01
965,2009-11-02,2009-11-03,2009-10-01
966,2009-11-03,2009-11-04,2009-10-01
967,2009-11-04,2009-11-05,2009-10-01
968,2009-11-05,2009-11-06,2009-10-01
969,2009-11-06,2009-11-09,2009-10-01
970,2009-11-09,2009-11-10,2009-10-01
971,2009-11-10,2009-11-11,2009-10-01
972,2009-11-11,2009-11-12,2009-10-01
973,2009-11-12,2009-11-13,2009-10-01
974,2009-11-13,2009-11-16,2009-10-01
975,2009-11-16,2009-11-17,2009-10-01
976,2009-11-17,2009-11-18,2009-10-01
977,2009-11-18,2009-11-19,2009-10-01
978,2009-11-19,2009-11-20,2009-10-01
979,2009-11-20,2009-11-23,2009-10-01
980,2009-11-23,2009-11-24,2009-10-01
981,2009-11-24,2009-11-25,2009-10-01
982,2009-11-25,2009-11-27,2009-10-01
983,2009-11-27,2009-11-30,2009-10-01
984,2009-11-30,2009-12-01,2009-10-01
985,2009-12-01,2009-12-02,2009-10-01
986,2009-12-02,2009-12-03,2009-10-01
987,2009-12-03,2009-12-04,2009-10-01
988,2009-12-04,2009-12-07,2009-10-01
989,2009-12-07,2009-12-08,2009-10-01
990,2009-12-08,2009-12-09,2009-10-01
991,2009-12-09,2009-12-10,2009-10-01
992,2009-12-10,2009-12-11,2009-10-01
993,2009-12-11,2009-12-14,2009-10-01
994,2009-12-14,2009-12-15,2009-10-01
995,2009-12-15,2009-12-16,2009-10-01
996,2009-12-16,2009-12-17,2009-10-01
997,2009-12-17,2009-12-18,2009-10-01
998,2009-12-18,2009-12-21,2009-10-01
999,2009-12-21,2009-12-22,2009-10-01
1000,2009-12-22,2009-12-23,2009-10-01
1001,2009-12-23,2009-12-24,2009-10-01
1002,2009-12-24,2009-12-28,2009-10-01
1003,2009-12-28,2009-12-29,2009-10-01
1004,2009-12-29,2009-12-30,2009-10-01
1005,2009-12-30,2009-12-31,2009-10-01
1006,2009-12-31,2010-01-04,2009-10-01
1007,2010-01-04,2010-01-05,2010-01-01
1008,2010-01-05,2010-01-06,2010-01-01
1009,2010-01-06,2010-01-07,2010-01-01
1010,2010-01-07,2010-01-08,2010-01-01
1011,2010-01-08,2010-01-11,2010-01-01
1012,2010-01-11,2010-01-12,2010-01-01
1013,2010-01-12,2010-01-13,2010-01-01
1014,2010-01-13,2010-01-14,2010-01-01
1015,2010-01-14,2010-01-15,2010-01-01
1016,2010-01-15,2010-01-19,2010-01-01
1017,2010-01-19,2010-01-20,2010-01-01
1018,2010-01-20,2010-01-21,2010-01-01
1019,2010-01-21,2010-01-22,2010-01-01
1020,2010-01-22,2010-01-25,2010-01-01
1021,2010-01-25,2010-01-26,2010-01-01
1022,2010-01-26,2010-01-27,2010-01-01
1023,2010-01-27,2010-01-28,2010-01-01
1024,2010-01-28,2010-01-29,2010-01-01
1025,2010-01-29,2010-02-01,2010-01-01
1026,2010-02-01,2010-02-02,2010-01-01
1027,2010-02-02,2010-02-03,2010-01-01
1028,2010-02-03,2010-02-04,2010-01-01
1029,2010-02-04,2010-02-05,2010-01-01
1030,2010-02-05,2010-02-08,2010-01-01
1031,2010-02-08,2010-02-09,2010-01-01
1032,2010-02-09,2010-02-10,2010-01-01
1033,2010-02-10,2010-02-11,2010-01-01
1034,2010-02-11,2010-02-12,2010-01-01
1035,2010-02-12,2010-02-16,2010-01-01
1036,2010-02-16,2010-02-17,2010-01-01
1037,2010-02-17,2010-02-18,2010-01-01
1038,2010-02-18,2010-02-19,2010-01-01
1039,2010-02-19,2010-02-22,2010-01-01
1040,2010-02-22,2010-02-23,2010-01-01
1041,2010-02-23,2010-02-24,2010-01-01
1042,2010-02-24,2010-02-25,2010-01-01
1043,2010-02-25,2010-02-26,2010-01-01
1044,2010-02-26,2010-03-01,2010-01-01
1045,2010-03-01,2010-03-02,2010-01-01
1046,2010-03-02,2010-03-03,2010-01-01
1047,2010-03-03,2010-03-04,2010-01-01
1048,2010-03-04,2010-03-05,2010-01-01
1049,2010-03-05,2010-03-08,2010-01-01
1050,2010-03-08,2010-03-09,2010-01-01
1051,2010-03-09,2010-03-10,2010-01-01
1052,2010-03-10,2010-03-11,2010-01-01
1053,2010-03-11,2010-03-12,2010-01-01
1054,2010-03-12,2010-03-15,2010-01-01
1055,2010-03-15,2010-03-16,2010-01-01
1056,2010-03-16,2010-03-17,2010-01-01
1057,2010-03-17,2010-03-18,2010-01-01
1058,2010-03-18,2010-03-19,2010-01-01
1059,2010-03-19,2010-03-22,2010-01-01
1060,2010-03-22,2010-03-23,2010-01-01
1061,2010-03-23,2010-03-24,2010-01-01
1062,2010-03-24,2010-03-25,2010-01-01
1063,2010-03-25,2010-03-26,2010-01-01
1064,2010-03-26,2010-03-29,2010-01-01
1065,2010-03-29,2010-03-30,2010-01-01
1066,2010-03-30,2010-03-31,2010-01-01
1067,2010-03-31,2010-04-01,2010-01-01
1068,2010-04-01,2010-04-05,2010-04-01
1069,2010-04-05,2010-04-06,2010-04-01
1070,2010-04-06,2010-04-07,2010-04-01
1071,2010-04-07,2010-04-08,2010-04-01
1072,2010-04-08,2010-04-09,2010-04-01
1073,2010-04-09,2010-04-12,2010-04-01
1074,2010-04-12,2010-04-13,2010-04-01
1075,2010-04-13,2010-04-14,2010-04-01
1076,2010-04-14,2010-04-15,2010-04-01
1077,2010-04-15,2010-04-16,2010-04-01
1078,2010-04-16,2010-04-19,2010-04-01
1079,2010-04-19,2010-04-20,2010-04-01
1080,2010-04-20,2010-04-21,2010-04-01
1081,2010-04-21,2010-04-22,2010-04-01
1082,2010-04-22,2010-04-23,2010-04-01
1083,2010-04-23,2010-04-26,2010-04-01
1084,2010-04-26,2010-04-27,2010-04-01
1085,2010-04-27,2010-04-28,2010-04-01
1086,2010-04-28,2010-04-29,2010-04-01
1087,2010-04-29,2010-04-30,2010-04-01
1088,2010-04-30,2010-05-03,2010-04-01
1089,2010-05-03,2010-05-04,2010-04-01
1090,2010-05-04,2010-05-05,2010-04-01
1091,2010-05-05,2010-05-06,2010-04-01
1092,2010-05-06,2010-05-07,2010-04-01
1093,2010-05-07,2010-05-10,2010-04-01
1094,2010-05-10,2010-05-11,2010-04-01
1095,2010-05-11,2010-05-12,2010-04-01
1096,2010-05-12,2010-05-13,2010-04-01
1097,2010-05-13,2010-05-14,2010-04-01
1098,2010-05-14,2010-05-17,2010-04-01
1099,2010-05-17,2010-05-18,2010-04-01
1100,2010-05-18,2010-05-19,2010-04-01
1101,2010-05-19,2010-05-20,2010-04-01
1102,2010-05-20,2010-05-21,2010-04-01
1103,2010-05-21,2010-05-24,2010-04-01
1104,2010-05-24,2010-05-25,2010-04-01
1105,2010-05-25,2010-05-26,2010-04-01
1106,2010-05-26,2010-05-27,2010-04-01
1107,2010-05-27,2010-05-28,2010-04-01
1108,2010-05-28,2010-06-01,2010-04-01
1109,2010-06-01,2010-06-02,2010-04-01
1110,2010-06-02,2010-06-03,2010-04-01
1111,2010-06-03,2010-06-04,2010-04-01
1112,2010-06-04,2010-06-07,2010-04-01
1113,2010-06-07,2010-06-08,2010-04-01
1114,2010-06-08,2010-06-09,2010-04-01
1115,2010-06-09,2010-06-10,2010-04-01
1116,2010-06-10,2010-06-11,2010-04-01
1117,2010-06-11,2010-06-14,2010-04-01
1118,2010-06-14,2010-06-15,2010-04-01
1119,2010-06-15,2010-06-16,2010-04-01
1120,2010-06-16,2010-06-17,2010-04-01
1121,2010-06-17,2010-06-18,2010-04-01
1122,2010-06-18,2010-06-21,2010-04-01
1123,2010-06-21,2010-06-22,2010-04-01
1124,2010-06-22,2010-06-23,2010-04-01
1125,2010-06-23,2010-06-24,2010-04-01
1126,2010-06-24,2010-06-25,2010-04-01
1127,2010-06-25,2010-06-28,2010-04-01
1128,2010-06-28,2010-06-29,2010-04-01
1129,2010-06-29,2010-06-30,2010-04-01
1130,2010-06-30,2010-07-01,2010-04-01
1131,2010-07-01,2010-07-02,2010-07-01
1132,2010-07-02,2010-07-06,2010-07-01
1133,2010-07-06,2010-07-07,2010-07-01
1134,2010-07-07,2010-07-08,2010-07-01
1135,2010-07-08,2010-07-09,2010-07-01
1136,2010-07-09,2010-07-12,2010-07-01
1137,2010-07-12,2010-07-13,2010-07-01
1138,2010-07-13,2010-07-14,2010-07-01
1139,2010-07-14,2010-07-15,2010-07-01
1140,2010-07-15,2010-07-16,2010-07-01
1141,2010-07-16,2010-07-19,2010-07-01
1142,2010-07-19,2010-07-20,2010-07-01
1143,2010-07-20,2010-07-21,2010-07-01
1144,2010-07-21,2010-07-22,2010-07-01
1145,2010-07-22,2010-07-23,2010-07-01
1146,2010-07-23,2010-07-26,2010-07-01
1147,2010-07-26,2010-07-27,2010-07-01
1148,2010-07-27,2010-07-28,2010-07-01
1149,2010-07-28,2010-07-29,2010-07-01
1150,2010-07-29,2010-07-30,2010-07-01
1151,2010-07-30,2010-08-02,2010-07-01
1152,2010-08-02,2010-08-03,2010-07-01
1153,2010-08-03,2010-08-04,2010-07-01
1154,2010-08-04,2010-08-05,2010-07-01
1155,2010-08-05,2010-08-06,2010-07-01
1156,2010-08-06,2010-08-09,2010-07-01
1157,2010-08-09,2010-08-10,2010-07-01
1158,2010-08-10,2010-08-11,2010-07-01
1159,2010-08-11,2010-08-12,2010-07-01
1160,2010-08-12,2010-08-13,2010-07-01
1161,2010-08-13,2010-08-16,2010-07-01
1162,2010-08-16,2010-08-17,2010-07-01
1163,2010-08-17,2010-08-18,2010-07-01
1164,2010-08-18,2010-08-19,2010-07-01
1165,2010-08-19,2010-08-20,2010-07-01
1166,2010-08-20,2010-08-23,2010-07-01
1167,2010-08-23,2010-08-24,2010-07-01
1168,2010-08-24,2010-08-25,2010-07-01
1169,2010-08-25,2010-08-26,2010-07-01
1170,2010-08-26,2010-08-27,2010-07-01
1171,2010-08-27,2010-08-30,2010-07-01
1172,2010-08-30,2010-08-31,2010-07-01
1173,2010-08-31,2010-09-01,2010-07-01
1174,2010-09-01,2010-09-02,2010-07-01
1175,2010-09-02,2010-09-03,2010-07-01
1176,2010-09-03,2010-09-07,2010-07-01
1177,2010-09-07,2010-09-08,2010-07-01
1178,2010-09-08,2010-09-09,2010-07-01
1179,2010-09-09,2010-09-10,2010-07-01
1180,2010-09-10,2010-09-13,2010-07-01
1181,2010-09-13,2010-09-14,2010-07-01
1182,2010-09-14,2010-09-15,2010-07-01
1183,2010-09-15,2010-09-16,2010-07-01
1184,2010-09-16,2010-09-17,2010-07-01
1185,2010-09-17,2010-09-20,2010-07-01
1186,2010-09-20,2010-09-21,2010-07-01
1187,2010-09-21,2010-09-22,2010-07-01
1188,2010-09-22,2010-09-23,2010-07-01
1189,2010-09-23,2010-09-24,2010-07-01
1190,2010-09-24,2010-09-27,2010-07-01
1191,2010-09-27,2010-09-28,2010-07-01
1192,2010-09-28,2010-09-29,2010-07-01
1193,2010-09-29,2010-09-30,2010-07-01
1194,2010-09-30,2010-10-01,2010-07-01
1195,2010-10-01,2010-10-04,2010-10-01
1196,2010-10-04,2010-10-05,2010-10-01
1197,2010-10-05,2010-10-06,2010-10-01
1198,2010-10-06,2010-10-07,2010-10-01
1199,2010-10-07,2010-10-08,2010-10-01
1200,2010-10-08,2010-10-11,2010-10-01
1201,2010-10-11,2010-10-12,2010-10-01
1202,2010-10-12,2010-10-13,2010-10-01
1203,2010-10-13,2010-10-14,2010-10-01
1204,2010-10-14,2010-10-15,2010-10-01
1205,2010-10-15,2010-10-18,2010-10-01
